annotator_id,paper_id,review_id
20,kxebDHZ7b7,5_3
20,BoLqnXEdSE,5_5
20,ziDFH8TPPK,5_3
20,ipWSxcmgsx,gold
20,GAXedKmbFZ,5_5
20,kxebDHZ7b7,gold
20,73dhbcXxtV,gold
20,LixtB4TYY2,5_3
20,30L0rr9W8A,5_5
20,4y3GDTFv70,gold
21,kxebDHZ7b7,5_3
21,BoLqnXEdSE,5_5
21,ziDFH8TPPK,5_3
21,ipWSxcmgsx,gold
21,GAXedKmbFZ,5_5
21,kxebDHZ7b7,gold
21,73dhbcXxtV,gold
21,LixtB4TYY2,5_3
21,30L0rr9W8A,5_5
21,4y3GDTFv70,gold
22,f7PmO5boQ9,5_3
22,OJoMzslBIa,5_5
22,wOb0xFwdpr,5_5
22,f7PmO5boQ9,gold
22,RXU6qde675,gold
22,i7oU4nfKEA,5_5
22,30L0rr9W8A,gold
22,73dhbcXxtV,5_5
22,uvFhCUPjtI,5_5
22,xJ5N8qrEPl,gold
23,f7PmO5boQ9,5_3
23,OJoMzslBIa,5_5
23,wOb0xFwdpr,5_5
23,f7PmO5boQ9,gold
23,RXU6qde675,gold
23,i7oU4nfKEA,5_5
23,30L0rr9W8A,gold
23,73dhbcXxtV,5_5
23,uvFhCUPjtI,5_5
23,xJ5N8qrEPl,gold
24,f7PmO5boQ9,5_3
24,OJoMzslBIa,5_5
24,wOb0xFwdpr,5_5
24,f7PmO5boQ9,gold
24,RXU6qde675,gold
24,i7oU4nfKEA,5_5
24,30L0rr9W8A,gold
24,73dhbcXxtV,5_5
24,uvFhCUPjtI,5_5
24,xJ5N8qrEPl,gold
25,ziDFH8TPPK,5_5
25,iGHPVbttMs,5_3
25,qIn2IgMWYg,gold
25,oTRekADULK,gold
25,GAXedKmbFZ,gold
25,f7PmO5boQ9,5_5
25,ipWSxcmgsx,5_3
25,uvFhCUPjtI,5_3
25,wOb0xFwdpr,5_3
25,P895PSh41Z,5_5
26,ziDFH8TPPK,5_5
26,iGHPVbttMs,5_3
26,qIn2IgMWYg,gold
26,oTRekADULK,gold
26,GAXedKmbFZ,gold
26,f7PmO5boQ9,5_5
26,ipWSxcmgsx,5_3
26,uvFhCUPjtI,5_3
26,wOb0xFwdpr,5_3
26,P895PSh41Z,5_5
27,ziDFH8TPPK,5_5
27,iGHPVbttMs,5_3
27,qIn2IgMWYg,gold
27,oTRekADULK,gold
27,GAXedKmbFZ,gold
27,f7PmO5boQ9,5_5
27,ipWSxcmgsx,5_3
27,uvFhCUPjtI,5_3
27,wOb0xFwdpr,5_3
27,P895PSh41Z,5_5
